time,intensity,type
20,112,biocatalytic
20.00833,112,biocatalytic
20.01667,112,biocatalytic
20.025,112,biocatalytic
20.03333,111,biocatalytic
20.04167,111,biocatalytic
20.05,111,biocatalytic
20.05833,112,biocatalytic
20.06667,112,biocatalytic
20.075,112,biocatalytic
20.08333,112,biocatalytic
20.09167,112,biocatalytic
20.1,113,biocatalytic
20.10833,113,biocatalytic
20.11667,114,biocatalytic
20.125,114,biocatalytic
20.13333,115,biocatalytic
20.14167,114,biocatalytic
20.15,115,biocatalytic
20.15833,116,biocatalytic
20.16667,117,biocatalytic
20.175,118,biocatalytic
20.18333,119,biocatalytic
20.19167,121,biocatalytic
20.2,122,biocatalytic
20.20833,122,biocatalytic
20.21667,122,biocatalytic
20.225,124,biocatalytic
20.23333,126,biocatalytic
20.24167,127,biocatalytic
20.25,127,biocatalytic
20.25833,128,biocatalytic
20.26667,130,biocatalytic
20.275,133,biocatalytic
20.28333,135,biocatalytic
20.29167,136,biocatalytic
20.3,137,biocatalytic
20.30833,138,biocatalytic
20.31667,139,biocatalytic
20.325,142,biocatalytic
20.33333,146,biocatalytic
20.34167,149,biocatalytic
20.35,152,biocatalytic
20.35833,155,biocatalytic
20.36667,159,biocatalytic
20.375,162,biocatalytic
20.38333,165,biocatalytic
20.39167,169,biocatalytic
20.4,173,biocatalytic
20.40833,176,biocatalytic
20.41667,180,biocatalytic
20.425,182,biocatalytic
20.43333,186,biocatalytic
20.44167,190,biocatalytic
20.45,193,biocatalytic
20.45833,197,biocatalytic
20.46667,202,biocatalytic
20.475,207,biocatalytic
20.48333,213,biocatalytic
20.49167,219,biocatalytic
20.5,224,biocatalytic
20.50833,230,biocatalytic
20.51667,235,biocatalytic
20.525,241,biocatalytic
20.53333,247,biocatalytic
20.54167,254,biocatalytic
20.55,260,biocatalytic
20.55833,265,biocatalytic
20.56667,271,biocatalytic
20.575,276,biocatalytic
20.58333,283,biocatalytic
20.59167,289,biocatalytic
20.6,296,biocatalytic
20.60833,302,biocatalytic
20.61667,308,biocatalytic
20.625,312,biocatalytic
20.63333,317,biocatalytic
20.64167,322,biocatalytic
20.65,327,biocatalytic
20.65833,332,biocatalytic
20.66667,336,biocatalytic
20.675,341,biocatalytic
20.68333,345,biocatalytic
20.69167,348,biocatalytic
20.7,350,biocatalytic
20.70833,352,biocatalytic
20.71667,354,biocatalytic
20.725,355,biocatalytic
20.73333,355,biocatalytic
20.74167,356,biocatalytic
20.75,357,biocatalytic
20.75833,356,biocatalytic
20.76667,354,biocatalytic
20.775,354,biocatalytic
20.78333,352,biocatalytic
20.79167,349,biocatalytic
20.8,346,biocatalytic
20.80833,343,biocatalytic
20.81667,340,biocatalytic
20.825,335,biocatalytic
20.83333,329,biocatalytic
20.84167,324,biocatalytic
20.85,318,biocatalytic
20.85833,312,biocatalytic
20.86667,306,biocatalytic
20.875,301,biocatalytic
20.88333,295,biocatalytic
20.89167,289,biocatalytic
20.9,282,biocatalytic
20.90833,276,biocatalytic
20.91667,270,biocatalytic
20.925,263,biocatalytic
20.93333,256,biocatalytic
20.94167,249,biocatalytic
20.95,243,biocatalytic
20.95833,237,biocatalytic
20.96667,231,biocatalytic
20.975,226,biocatalytic
20.98333,220,biocatalytic
20.99167,213,biocatalytic
21,206,biocatalytic
21.00833,200,biocatalytic
21.01667,196,biocatalytic
21.025,191,biocatalytic
21.03333,188,biocatalytic
21.04167,183,biocatalytic
21.05,178,biocatalytic
21.05833,174,biocatalytic
21.06667,170,biocatalytic
21.075,166,biocatalytic
21.08333,162,biocatalytic
21.09167,159,biocatalytic
21.1,157,biocatalytic
21.10833,156,biocatalytic
21.11667,155,biocatalytic
21.125,154,biocatalytic
21.13333,154,biocatalytic
21.14167,152,biocatalytic
21.15,151,biocatalytic
21.15833,149,biocatalytic
21.16667,147,biocatalytic
21.175,146,biocatalytic
21.18333,146,biocatalytic
21.19167,147,biocatalytic
21.2,147,biocatalytic
21.20833,146,biocatalytic
21.21667,147,biocatalytic
21.225,147,biocatalytic
21.23333,147,biocatalytic
21.24167,147,biocatalytic
21.25,147,biocatalytic
21.25833,148,biocatalytic
21.26667,150,biocatalytic
21.275,150,biocatalytic
21.28333,150,biocatalytic
21.29167,150,biocatalytic
21.3,151,biocatalytic
21.30833,152,biocatalytic
21.31667,154,biocatalytic
21.325,154,biocatalytic
21.33333,155,biocatalytic
21.34167,155,biocatalytic
21.35,155,biocatalytic
21.35833,155,biocatalytic
21.36667,157,biocatalytic
21.375,158,biocatalytic
21.38333,158,biocatalytic
21.39167,158,biocatalytic
21.4,158,biocatalytic
21.40833,156,biocatalytic
21.41667,156,biocatalytic
21.425,157,biocatalytic
21.43333,158,biocatalytic
21.44167,158,biocatalytic
21.45,159,biocatalytic
21.45833,160,biocatalytic
21.46667,161,biocatalytic
21.475,162,biocatalytic
21.48333,163,biocatalytic
21.49167,163,biocatalytic
21.5,162,biocatalytic
21.50833,161,biocatalytic
21.51667,161,biocatalytic
21.525,161,biocatalytic
21.53333,160,biocatalytic
21.54167,160,biocatalytic
21.55,160,biocatalytic
21.55833,160,biocatalytic
21.56667,161,biocatalytic
21.575,162,biocatalytic
21.58333,161,biocatalytic
21.59167,160,biocatalytic
21.6,161,biocatalytic
21.60833,162,biocatalytic
21.61667,162,biocatalytic
21.625,161,biocatalytic
21.63333,160,biocatalytic
21.64167,160,biocatalytic
21.65,159,biocatalytic
21.65833,158,biocatalytic
21.66667,159,biocatalytic
21.675,160,biocatalytic
21.68333,160,biocatalytic
21.69167,161,biocatalytic
21.7,161,biocatalytic
21.70833,161,biocatalytic
21.71667,161,biocatalytic
21.725,160,biocatalytic
21.73333,159,biocatalytic
21.74167,158,biocatalytic
21.75,157,biocatalytic
21.75833,156,biocatalytic
21.76667,156,biocatalytic
21.775,157,biocatalytic
21.78333,156,biocatalytic
21.79167,154,biocatalytic
21.8,153,biocatalytic
21.80833,151,biocatalytic
21.81667,151,biocatalytic
21.825,152,biocatalytic
21.83333,151,biocatalytic
21.84167,149,biocatalytic
21.85,147,biocatalytic
21.85833,146,biocatalytic
21.86667,145,biocatalytic
21.875,145,biocatalytic
21.88333,144,biocatalytic
21.89167,143,biocatalytic
21.9,141,biocatalytic
21.90833,139,biocatalytic
21.91667,138,biocatalytic
21.925,137,biocatalytic
21.93333,137,biocatalytic
21.94167,137,biocatalytic
21.95,135,biocatalytic
21.95833,134,biocatalytic
21.96667,134,biocatalytic
21.975,133,biocatalytic
21.98333,132,biocatalytic
21.99167,131,biocatalytic
22,130,biocatalytic
22.00833,128,biocatalytic
22.01667,127,biocatalytic
22.025,125,biocatalytic
22.03333,124,biocatalytic
22.04167,122,biocatalytic
22.05,121,biocatalytic
22.05833,122,biocatalytic
22.06667,123,biocatalytic
22.075,124,biocatalytic
22.08333,124,biocatalytic
22.09167,124,biocatalytic
22.1,123,biocatalytic
22.10833,122,biocatalytic
22.11667,121,biocatalytic
22.125,120,biocatalytic
22.13333,120,biocatalytic
22.14167,120,biocatalytic
22.15,119,biocatalytic
22.15833,118,biocatalytic
22.16667,118,biocatalytic
22.175,118,biocatalytic
22.18333,118,biocatalytic
22.19167,117,biocatalytic
22.2,116,biocatalytic
22.20833,116,biocatalytic
22.21667,116,biocatalytic
22.225,116,biocatalytic
22.23333,117,biocatalytic
22.24167,117,biocatalytic
22.25,117,biocatalytic
22.25833,117,biocatalytic
22.26667,117,biocatalytic
22.275,117,biocatalytic
22.28333,116,biocatalytic
22.29167,115,biocatalytic
22.3,115,biocatalytic
22.30833,115,biocatalytic
22.31667,115,biocatalytic
22.325,114,biocatalytic
22.33333,114,biocatalytic
22.34167,113,biocatalytic
22.35,114,biocatalytic
22.35833,114,biocatalytic
22.36667,114,biocatalytic
22.375,115,biocatalytic
22.38333,115,biocatalytic
22.39167,116,biocatalytic
22.4,116,biocatalytic
22.40833,116,biocatalytic
22.41667,116,biocatalytic
22.425,116,biocatalytic
22.43333,115,biocatalytic
22.44167,116,biocatalytic
22.45,117,biocatalytic
22.45833,118,biocatalytic
22.46667,118,biocatalytic
22.475,117,biocatalytic
22.48333,116,biocatalytic
22.49167,115,biocatalytic
22.5,114,biocatalytic
22.50833,115,biocatalytic
22.51667,115,biocatalytic
22.525,114,biocatalytic
22.53333,115,biocatalytic
22.54167,116,biocatalytic
22.55,116,biocatalytic
22.55833,116,biocatalytic
22.56667,116,biocatalytic
22.575,117,biocatalytic
22.58333,117,biocatalytic
22.59167,116,biocatalytic
22.6,116,biocatalytic
22.60833,116,biocatalytic
22.61667,116,biocatalytic
22.625,115,biocatalytic
22.63333,115,biocatalytic
22.64167,116,biocatalytic
22.65,116,biocatalytic
22.65833,115,biocatalytic
22.66667,114,biocatalytic
22.675,115,biocatalytic
22.68333,115,biocatalytic
22.69167,116,biocatalytic
22.7,116,biocatalytic
22.70833,117,biocatalytic
22.71667,118,biocatalytic
22.725,119,biocatalytic
22.73333,120,biocatalytic
22.74167,121,biocatalytic
