time,intensity,type
0,-1,substrate
0.00667,-1,substrate
0.01333,0,substrate
0.02,0,substrate
0.02667,-1,substrate
0.03333,0,substrate
0.04,0,substrate
0.04667,0,substrate
0.05333,0,substrate
0.06,0,substrate
0.06667,0,substrate
0.07333,0,substrate
0.08,1,substrate
0.08667,1,substrate
0.09333,1,substrate
0.1,2,substrate
0.10667,3,substrate
0.11333,3,substrate
0.12,3,substrate
0.12667,3,substrate
0.13333,3,substrate
0.14,3,substrate
0.14667,3,substrate
0.15333,2,substrate
0.16,1,substrate
0.16667,0,substrate
0.17333,1,substrate
0.18,1,substrate
0.18667,1,substrate
0.19333,1,substrate
0.2,2,substrate
0.20667,2,substrate
0.21333,2,substrate
0.22,2,substrate
0.22667,2,substrate
0.23333,2,substrate
0.24,3,substrate
0.24667,3,substrate
0.25333,2,substrate
0.26,3,substrate
0.26667,3,substrate
0.27333,2,substrate
0.28,2,substrate
0.28667,1,substrate
0.29333,0,substrate
0.3,0,substrate
0.30667,0,substrate
0.31333,0,substrate
0.32,1,substrate
0.32667,1,substrate
0.33333,1,substrate
0.34,1,substrate
0.34667,1,substrate
0.35333,2,substrate
0.36,2,substrate
0.36667,2,substrate
0.37333,2,substrate
0.38,2,substrate
0.38667,2,substrate
0.39333,3,substrate
0.4,3,substrate
0.40667,3,substrate
0.41333,2,substrate
0.42,1,substrate
0.42667,1,substrate
0.43333,1,substrate
0.44,1,substrate
0.44667,3,substrate
0.45333,3,substrate
0.46,3,substrate
0.46667,2,substrate
0.47333,1,substrate
0.48,0,substrate
0.48667,0,substrate
0.49333,0,substrate
0.5,0,substrate
0.50667,0,substrate
0.51333,1,substrate
0.52,1,substrate
0.52667,1,substrate
0.53333,1,substrate
0.54,1,substrate
0.54667,1,substrate
0.55333,0,substrate
0.56,-1,substrate
0.56667,0,substrate
0.57333,-1,substrate
0.58,-3,substrate
0.58667,-3,substrate
0.59333,-3,substrate
0.6,-2,substrate
0.60667,-2,substrate
0.61333,-2,substrate
0.62,-2,substrate
0.62667,0,substrate
0.63333,1,substrate
0.64,1,substrate
0.64667,1,substrate
0.65333,0,substrate
0.66,-1,substrate
0.66667,-1,substrate
0.67333,-1,substrate
0.68,-1,substrate
0.68667,0,substrate
0.69333,0,substrate
0.7,1,substrate
0.70667,2,substrate
0.71333,2,substrate
0.72,2,substrate
0.72667,3,substrate
0.73333,3,substrate
0.74,2,substrate
0.74667,2,substrate
0.75333,1,substrate
0.76,1,substrate
0.76667,1,substrate
0.77333,1,substrate
0.78,2,substrate
0.78667,3,substrate
0.79333,4,substrate
0.8,3,substrate
0.80667,2,substrate
0.81333,1,substrate
0.82,0,substrate
0.82667,1,substrate
0.83333,1,substrate
0.84,1,substrate
0.84667,0,substrate
0.85333,0,substrate
0.86,-1,substrate
0.86667,-2,substrate
0.87333,-1,substrate
0.88,-1,substrate
0.88667,-1,substrate
0.89333,-1,substrate
0.9,0,substrate
0.90667,0,substrate
0.91333,0,substrate
0.92,1,substrate
0.92667,1,substrate
0.93333,2,substrate
0.94,2,substrate
0.94667,1,substrate
0.95333,1,substrate
0.96,1,substrate
0.96667,1,substrate
0.97333,2,substrate
0.98,3,substrate
0.98667,3,substrate
0.99333,3,substrate
1,4,substrate
1.00667,3,substrate
1.01333,2,substrate
1.02,1,substrate
1.02667,0,substrate
1.03333,-1,substrate
1.04,-2,substrate
1.04667,-2,substrate
1.05333,-1,substrate
1.06,1,substrate
1.06667,1,substrate
1.07333,2,substrate
1.08,1,substrate
1.08667,0,substrate
1.09333,0,substrate
1.1,0,substrate
1.10667,0,substrate
1.11333,0,substrate
1.12,0,substrate
1.12667,0,substrate
1.13333,0,substrate
1.14,1,substrate
1.14667,1,substrate
1.15333,2,substrate
1.16,1,substrate
1.16667,0,substrate
1.17333,-2,substrate
1.18,-2,substrate
1.18667,-1,substrate
1.19333,-1,substrate
1.2,0,substrate
1.20667,0,substrate
1.21333,0,substrate
1.22,0,substrate
1.22667,0,substrate
1.23333,0,substrate
1.24,1,substrate
1.24667,1,substrate
1.25333,1,substrate
1.26,0,substrate
1.26667,0,substrate
1.27333,-1,substrate
1.28,-1,substrate
1.28667,0,substrate
1.29333,0,substrate
1.3,1,substrate
1.30667,0,substrate
1.31333,1,substrate
1.32,1,substrate
1.32667,0,substrate
1.33333,-1,substrate
1.34,-1,substrate
1.34667,-1,substrate
1.35333,-2,substrate
1.36,-2,substrate
1.36667,-2,substrate
1.37333,-1,substrate
1.38,0,substrate
1.38667,0,substrate
1.39333,-2,substrate
1.4,-2,substrate
1.40667,-2,substrate
1.41333,-2,substrate
1.42,-1,substrate
1.42667,0,substrate
1.43333,0,substrate
1.44,-1,substrate
1.44667,0,substrate
1.45333,-1,substrate
1.46,0,substrate
1.46667,1,substrate
1.47333,1,substrate
1.48,0,substrate
1.48667,0,substrate
1.49333,0,substrate
1.5,1,substrate
1.50667,1,substrate
1.51333,1,substrate
1.52,1,substrate
1.52667,2,substrate
1.53333,1,substrate
1.54,0,substrate
1.54667,-1,substrate
1.55333,-1,substrate
1.56,-1,substrate
1.56667,-1,substrate
1.57333,0,substrate
1.58,1,substrate
1.58667,1,substrate
1.59333,1,substrate
1.6,2,substrate
1.60667,2,substrate
1.61333,1,substrate
1.62,1,substrate
1.62667,1,substrate
1.63333,1,substrate
1.64,1,substrate
1.64667,1,substrate
1.65333,0,substrate
1.66,-1,substrate
1.66667,-2,substrate
1.67333,-3,substrate
1.68,-2,substrate
1.68667,-1,substrate
1.69333,0,substrate
1.7,1,substrate
1.70667,1,substrate
1.71333,1,substrate
1.72,1,substrate
1.72667,0,substrate
1.73333,0,substrate
1.74,0,substrate
1.74667,0,substrate
1.75333,0,substrate
1.76,0,substrate
1.76667,0,substrate
1.77333,0,substrate
1.78,-1,substrate
1.78667,0,substrate
1.79333,1,substrate
1.8,1,substrate
1.80667,2,substrate
1.81333,1,substrate
1.82,1,substrate
1.82667,1,substrate
1.83333,1,substrate
1.84,1,substrate
1.84667,1,substrate
1.85333,0,substrate
1.86,0,substrate
1.86667,0,substrate
1.87333,1,substrate
1.88,2,substrate
1.88667,2,substrate
1.89333,4,substrate
1.9,3,substrate
1.90667,2,substrate
1.91333,2,substrate
1.92,1,substrate
1.92667,0,substrate
1.93333,0,substrate
1.94,1,substrate
1.94667,1,substrate
1.95333,0,substrate
1.96,0,substrate
1.96667,0,substrate
1.97333,0,substrate
1.98,-1,substrate
1.98667,-1,substrate
1.99333,-2,substrate
2,-1,substrate
2.00667,0,substrate
2.01333,0,substrate
2.02,0,substrate
2.02667,1,substrate
2.03333,0,substrate
2.04,-1,substrate
2.04667,-1,substrate
2.05333,-1,substrate
2.06,-2,substrate
2.06667,-2,substrate
2.07333,-2,substrate
2.08,-1,substrate
2.08667,-1,substrate
2.09333,0,substrate
2.1,0,substrate
2.10667,-1,substrate
2.11333,-2,substrate
2.12,-2,substrate
2.12667,-2,substrate
2.13333,-2,substrate
2.14,-2,substrate
2.14667,-2,substrate
