wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
750,0.01815,0.041749,0.039756,0.020844
749,0.018475,0.041875,0.038935,0.02093
748,0.018158,0.041645,0.039391,0.021066
747,0.0179,0.041437,0.039238,0.02029
746,0.018364,0.041299,0.039373,0.02099
745,0.018063,0.041568,0.039287,0.020765
744,0.018303,0.041438,0.039392,0.020904
743,0.018634,0.041848,0.039034,0.021046
742,0.018856,0.041817,0.039848,0.021027
741,0.018862,0.042125,0.03914,0.021074
740,0.018512,0.041947,0.039691,0.02104
739,0.01883,0.042077,0.039458,0.02076
738,0.019077,0.042131,0.040134,0.02121
737,0.019114,0.041847,0.039454,0.020785
736,0.019336,0.041983,0.039628,0.020618
735,0.019007,0.042345,0.04038,0.021128
734,0.019202,0.042062,0.039831,0.020594
733,0.0189,0.041959,0.040099,0.020043
732,0.018665,0.041477,0.039604,0.020736
731,0.019631,0.041678,0.039726,0.020578
730,0.019204,0.041229,0.039481,0.020331
729,0.019309,0.042125,0.039791,0.021122
728,0.019358,0.042166,0.039653,0.020776
727,0.019768,0.042549,0.040169,0.020921
726,0.019538,0.042205,0.039724,0.021089
725,0.019185,0.042442,0.040486,0.02107
724,0.01939,0.042716,0.040233,0.021022
723,0.019784,0.043174,0.040276,0.021559
722,0.019367,0.043635,0.040522,0.021221
721,0.019766,0.04394,0.040198,0.0216
720,0.0201,0.043667,0.040154,0.021347
719,0.01971,0.043599,0.04053,0.021239
718,0.020245,0.044259,0.040733,0.021327
717,0.019968,0.044158,0.040843,0.021344
716,0.020567,0.043988,0.041214,0.021541
715,0.020349,0.044039,0.040781,0.021417
714,0.021581,0.044604,0.041659,0.022197
713,0.021578,0.044689,0.041346,0.022313
712,0.021239,0.044979,0.041724,0.022212
711,0.021018,0.04515,0.040699,0.021503
710,0.021178,0.044813,0.041097,0.021535
709,0.021369,0.045317,0.041684,0.022028
708,0.020767,0.044555,0.041316,0.021604
707,0.020931,0.045131,0.041012,0.022017
706,0.020563,0.04476,0.040708,0.021626
705,0.020166,0.044509,0.040787,0.021698
704,0.02051,0.044491,0.041199,0.021841
703,0.020637,0.044049,0.041355,0.02159
702,0.020657,0.044191,0.041249,0.021853
701,0.020712,0.044697,0.041745,0.02215
700,0.020831,0.044876,0.040965,0.021841
699,0.020969,0.044585,0.041219,0.02178
698,0.02146,0.04503,0.041401,0.021945
697,0.020732,0.044993,0.041212,0.021831
696,0.020655,0.044722,0.041126,0.021787
695,0.020285,0.045115,0.041235,0.02117
694,0.020132,0.045063,0.041035,0.021263
693,0.021036,0.045253,0.04158,0.021782
692,0.020106,0.044715,0.041093,0.02115
691,0.020402,0.044658,0.040725,0.02109
690,0.020863,0.045303,0.041375,0.021139
689,0.020669,0.044315,0.04136,0.021182
688,0.021159,0.044731,0.041642,0.022066
687,0.020957,0.044546,0.04151,0.022082
686,0.020788,0.044467,0.042177,0.02128
685,0.020611,0.044111,0.042115,0.021227
684,0.021006,0.044696,0.042257,0.022017
683,0.02086,0.044677,0.042432,0.021444
682,0.02127,0.044732,0.041981,0.021874
681,0.0213,0.045282,0.042404,0.021984
680,0.021222,0.045736,0.042091,0.021793
679,0.021243,0.045641,0.042031,0.022131
678,0.021598,0.045572,0.042203,0.022204
677,0.021061,0.045268,0.041749,0.021932
676,0.021074,0.045447,0.042247,0.021936
675,0.021072,0.045697,0.042301,0.022652
674,0.020798,0.045368,0.041579,0.022254
673,0.021196,0.045256,0.042166,0.022769
672,0.021514,0.045181,0.041988,0.022192
671,0.021165,0.045224,0.041816,0.02203
670,0.021968,0.045449,0.042303,0.022438
669,0.021467,0.045358,0.04181,0.021821
668,0.020965,0.04466,0.041871,0.021833
667,0.02146,0.045742,0.042528,0.02187
666,0.021582,0.046099,0.042082,0.022305
665,0.0217,0.045768,0.042379,0.022236
664,0.021187,0.045909,0.042577,0.022165
663,0.021558,0.045589,0.043103,0.022246
662,0.020953,0.044958,0.041996,0.021674
661,0.021336,0.045434,0.042574,0.022198
660,0.021613,0.045924,0.043467,0.022329
659,0.021494,0.045751,0.043252,0.0225
658,0.021643,0.045873,0.043129,0.022512
657,0.021653,0.046039,0.043779,0.022757
656,0.021674,0.0465,0.044164,0.022951
655,0.02192,0.046808,0.043975,0.02298
654,0.021358,0.046009,0.04373,0.022207
653,0.020729,0.046079,0.043512,0.022417
652,0.021137,0.045967,0.043691,0.022318
651,0.021088,0.046045,0.0438,0.021871
650,0.021745,0.046562,0.044328,0.022911
649,0.021333,0.045996,0.044047,0.022964
648,0.021672,0.046229,0.044471,0.023214
647,0.02218,0.046124,0.044384,0.022822
646,0.021856,0.046419,0.044378,0.022841
645,0.022002,0.046519,0.044713,0.023063
644,0.021823,0.046756,0.044309,0.023467
643,0.022537,0.046887,0.044904,0.024056
642,0.02201,0.046583,0.044404,0.023473
641,0.022038,0.046616,0.044922,0.023805
640,0.022173,0.046875,0.045405,0.024178
639,0.021998,0.046736,0.04469,0.023767
638,0.022211,0.047086,0.044802,0.023841
637,0.022155,0.046895,0.044626,0.023724
636,0.022202,0.046335,0.044537,0.023889
635,0.022578,0.046733,0.044385,0.023798
634,0.022555,0.046546,0.04412,0.023907
633,0.022667,0.046723,0.044784,0.024195
632,0.022724,0.046806,0.044698,0.024687
631,0.022743,0.04673,0.044582,0.024947
630,0.022773,0.046773,0.044738,0.024535
629,0.022606,0.046331,0.044349,0.024619
628,0.022571,0.046701,0.044249,0.024476
627,0.022512,0.046813,0.044374,0.024707
626,0.022331,0.0467,0.044389,0.024761
625,0.023276,0.047348,0.045143,0.025661
624,0.023292,0.04706,0.044748,0.025337
623,0.022992,0.047102,0.044642,0.025236
622,0.022617,0.046949,0.044425,0.025748
621,0.023086,0.046284,0.044501,0.025842
620,0.023172,0.046136,0.04427,0.025705
619,0.023074,0.046591,0.044475,0.025299
618,0.02336,0.046377,0.044568,0.025494
617,0.023572,0.04702,0.044746,0.026242
616,0.023456,0.046237,0.044823,0.026056
615,0.023732,0.046872,0.045375,0.026111
614,0.022921,0.046253,0.044509,0.02579
613,0.023286,0.046694,0.045353,0.02649
612,0.024005,0.046864,0.045441,0.026962
611,0.024452,0.047446,0.045791,0.027238
610,0.024063,0.047535,0.045782,0.027323
609,0.024913,0.047535,0.046165,0.027487
608,0.024868,0.047961,0.04605,0.027781
607,0.025056,0.048013,0.046573,0.027864
606,0.025755,0.048492,0.046803,0.028223
605,0.025793,0.048627,0.047245,0.02843
604,0.025631,0.048783,0.047379,0.028393
603,0.026593,0.049569,0.048303,0.029314
602,0.027132,0.049659,0.048538,0.02956
601,0.027694,0.049823,0.04826,0.029775
600,0.028857,0.051132,0.049365,0.03139
599,0.02899,0.051611,0.049834,0.031617
598,0.029881,0.052452,0.050581,0.032093
597,0.030028,0.052987,0.050585,0.032939
596,0.030751,0.052896,0.051455,0.033854
595,0.031326,0.053676,0.052296,0.034606
594,0.032377,0.05478,0.053087,0.03551
593,0.033495,0.055569,0.053752,0.036538
592,0.03439,0.056219,0.054645,0.037432
591,0.035533,0.05749,0.055579,0.038183
590,0.036973,0.059258,0.057131,0.040109
589,0.038356,0.060419,0.0582,0.041037
588,0.039922,0.061742,0.059138,0.042254
587,0.041628,0.063103,0.060557,0.043415
586,0.043061,0.065078,0.061992,0.044911
585,0.04529,0.066473,0.063965,0.046795
584,0.047467,0.068211,0.065944,0.048284
583,0.049698,0.070463,0.067309,0.04969
582,0.051126,0.072258,0.068844,0.051064
581,0.053199,0.073982,0.07098,0.053201
580,0.055777,0.076828,0.073107,0.055468
579,0.057647,0.078754,0.075148,0.05747
578,0.060468,0.080975,0.077134,0.060102
577,0.062331,0.08305,0.079185,0.062313
576,0.06454,0.084036,0.080891,0.06445
575,0.066873,0.08634,0.082409,0.066528
574,0.068709,0.087675,0.083989,0.06865
573,0.070026,0.08976,0.085055,0.070907
572,0.071537,0.091212,0.086582,0.073173
571,0.07243,0.091974,0.087286,0.074173
570,0.073504,0.092781,0.087597,0.07543
569,0.074343,0.093447,0.088484,0.07655
568,0.075235,0.093449,0.088709,0.077894
567,0.075156,0.093224,0.088782,0.078086
566,0.074326,0.092858,0.087918,0.078523
565,0.073916,0.092796,0.088218,0.079172
564,0.073397,0.092417,0.087788,0.079429
563,0.073033,0.091549,0.087381,0.079817
562,0.072748,0.091627,0.087019,0.080532
561,0.071447,0.090627,0.086201,0.080754
560,0.070332,0.08921,0.085627,0.080752
559,0.069555,0.08881,0.085003,0.081436
558,0.068809,0.087981,0.084144,0.081395
557,0.06828,0.087487,0.083825,0.082222
556,0.067701,0.086873,0.083513,0.082751
555,0.06709,0.086227,0.083175,0.082558
554,0.065985,0.086041,0.08316,0.082898
553,0.066004,0.085907,0.082967,0.083984
552,0.065871,0.085587,0.082229,0.083896
551,0.065457,0.085453,0.082348,0.083593
550,0.065238,0.085404,0.082218,0.083634
549,0.065098,0.08481,0.08255,0.083774
548,0.065526,0.084542,0.082049,0.084019
547,0.065847,0.085621,0.082792,0.084304
546,0.065956,0.08672,0.084055,0.084478
545,0.066634,0.08652,0.084338,0.083821
544,0.066941,0.087226,0.084275,0.083889
543,0.067795,0.088034,0.085188,0.083861
542,0.068309,0.088782,0.085553,0.083419
541,0.069374,0.089617,0.086255,0.083104
540,0.069524,0.089925,0.086616,0.082648
539,0.070051,0.090312,0.086648,0.081885
538,0.070923,0.091214,0.087546,0.081022
537,0.070963,0.090662,0.087399,0.080132
536,0.07103,0.090889,0.087558,0.078732
535,0.071531,0.091287,0.087428,0.077774
534,0.07163,0.091326,0.08792,0.076892
533,0.071021,0.091478,0.088015,0.075335
532,0.070897,0.090938,0.087838,0.073925
531,0.070739,0.090056,0.08764,0.072494
530,0.070242,0.089952,0.086746,0.071347
529,0.070119,0.090188,0.086681,0.070281
528,0.069627,0.089671,0.086616,0.069011
527,0.068758,0.088815,0.085906,0.067565
526,0.068408,0.088324,0.085845,0.066658
525,0.067742,0.087999,0.085088,0.065114
524,0.066712,0.087503,0.08405,0.064034
523,0.065446,0.086015,0.083191,0.062738
522,0.064588,0.085291,0.082885,0.061635
521,0.063814,0.084109,0.082221,0.060596
520,0.062819,0.082995,0.081506,0.059277
519,0.061864,0.082647,0.080823,0.058545
518,0.060681,0.0813,0.079604,0.057303
517,0.059671,0.080242,0.079275,0.056443
516,0.058991,0.080004,0.078634,0.055855
515,0.057584,0.079338,0.077317,0.054712
514,0.056738,0.077848,0.076694,0.054395
513,0.055642,0.077319,0.075849,0.053377
512,0.05531,0.07655,0.075363,0.053302
511,0.054513,0.075941,0.075071,0.05319
510,0.054318,0.075308,0.074517,0.052781
509,0.052962,0.074239,0.073108,0.052329
508,0.052441,0.07396,0.072955,0.052426
507,0.051868,0.073634,0.072724,0.052391
506,0.050713,0.072749,0.072196,0.052147
505,0.050472,0.071685,0.071105,0.051414
504,0.050073,0.071191,0.071055,0.051917
503,0.049455,0.071117,0.070726,0.051852
502,0.049166,0.071181,0.07054,0.051863
501,0.049031,0.070295,0.070541,0.052433
500,0.04843,0.070037,0.069865,0.052276
499,0.048668,0.070316,0.070056,0.05331
498,0.048465,0.070219,0.070016,0.053535
497,0.048026,0.069883,0.069658,0.054045
496,0.047682,0.069361,0.06931,0.053933
495,0.047462,0.069479,0.069439,0.05437
494,0.047873,0.06966,0.069513,0.055624
493,0.04774,0.069799,0.069533,0.055969
492,0.047372,0.069403,0.069207,0.056291
491,0.047781,0.06926,0.069107,0.056566
490,0.047879,0.069865,0.069404,0.057279
489,0.047197,0.069904,0.069026,0.057988
488,0.047161,0.069541,0.068806,0.058795
487,0.047623,0.069103,0.0694,0.059732
486,0.047577,0.068564,0.069068,0.06032
485,0.047738,0.069839,0.069693,0.062725
484,0.048049,0.069712,0.069805,0.063248
483,0.048067,0.069516,0.069879,0.0649
482,0.048796,0.069943,0.070016,0.066615
481,0.049464,0.070888,0.070637,0.068714
480,0.049792,0.071082,0.071064,0.070747
479,0.0495,0.071166,0.071495,0.072624
478,0.049967,0.072074,0.072003,0.07497
477,0.050299,0.072565,0.071816,0.077662
476,0.050404,0.072864,0.072101,0.080013
475,0.051725,0.073226,0.073326,0.084142
474,0.051876,0.073808,0.074031,0.08785
473,0.052112,0.074263,0.074038,0.091904
472,0.052884,0.074885,0.074932,0.097209
471,0.05424,0.076168,0.076634,0.103817
470,0.055032,0.076387,0.076994,0.110481
469,0.056159,0.077853,0.077851,0.118353
468,0.057302,0.079212,0.079029,0.12722
467,0.058271,0.080572,0.080531,0.137805
466,0.059837,0.081438,0.081734,0.149916
465,0.061452,0.083071,0.083311,0.163699
464,0.062715,0.084209,0.084357,0.178885
463,0.064208,0.086271,0.086073,0.196821
462,0.066078,0.086847,0.087591,0.216654
461,0.067568,0.088856,0.089854,0.238416
460,0.069317,0.090946,0.091223,0.262065
459,0.071167,0.092399,0.092829,0.28733
458,0.073503,0.094903,0.094948,0.313423
457,0.075816,0.096947,0.096759,0.339823
456,0.078695,0.099667,0.099349,0.365452
455,0.081421,0.101756,0.102265,0.389383
454,0.084309,0.105199,0.104707,0.410217
453,0.087296,0.107834,0.107345,0.427625
452,0.09057,0.110844,0.110077,0.440185
451,0.09444,0.114505,0.113851,0.448345
450,0.097717,0.118182,0.117129,0.45175
449,0.101923,0.122234,0.121633,0.45062
448,0.105876,0.125765,0.124678,0.444426
447,0.110905,0.130492,0.129454,0.435226
446,0.115771,0.135241,0.134108,0.42245
445,0.121563,0.14066,0.138916,0.407164
444,0.127834,0.147152,0.143817,0.390579
443,0.134262,0.153565,0.150173,0.373147
442,0.141856,0.16023,0.156904,0.354868
441,0.150165,0.168802,0.164601,0.337401
440,0.159061,0.17765,0.172719,0.31963
439,0.169426,0.18765,0.181991,0.302727
438,0.180671,0.198301,0.192032,0.287528
437,0.192758,0.209592,0.202871,0.273336
436,0.206463,0.223045,0.215296,0.260794
435,0.220536,0.236728,0.227519,0.249859
434,0.23654,0.252228,0.242621,0.241094
433,0.253912,0.26937,0.257515,0.234262
432,0.273232,0.28818,0.275007,0.22973
431,0.293722,0.30721,0.292798,0.226617
430,0.315921,0.328221,0.312543,0.226626
429,0.33987,0.351198,0.333352,0.229952
428,0.364364,0.375081,0.355435,0.235384
