wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
750,0.01401,0.036462,0.014219,0.011929
749,0.014585,0.036847,0.014344,0.01301
748,0.01416,0.036493,0.013837,0.013129
747,0.014184,0.036707,0.013984,0.012578
746,0.014384,0.036613,0.014524,0.012323
745,0.014804,0.036766,0.014543,0.012371
744,0.014763,0.036936,0.01442,0.012586
743,0.014983,0.037028,0.014429,0.012752
742,0.01446,0.036986,0.014696,0.012413
741,0.014793,0.037076,0.014812,0.012469
740,0.015082,0.036899,0.01494,0.012741
739,0.015123,0.037272,0.014281,0.012754
738,0.015127,0.037527,0.014652,0.012748
737,0.014768,0.03673,0.014488,0.012488
736,0.01479,0.036834,0.014354,0.013029
735,0.014828,0.037492,0.014508,0.01278
734,0.015243,0.036986,0.014577,0.012775
733,0.014366,0.037113,0.014341,0.012524
732,0.014767,0.036801,0.014217,0.012461
731,0.015204,0.037028,0.014476,0.012524
730,0.014364,0.036744,0.013937,0.012519
729,0.015108,0.037518,0.014352,0.012928
728,0.014967,0.037046,0.01425,0.012532
727,0.015372,0.037667,0.015012,0.01276
726,0.015528,0.037081,0.014337,0.012501
725,0.015011,0.037176,0.014638,0.01273
724,0.015242,0.037434,0.014675,0.01304
723,0.016127,0.037343,0.014878,0.01358
722,0.015545,0.037405,0.014874,0.013284
721,0.015691,0.03796,0.015158,0.013196
720,0.015601,0.037734,0.015293,0.013159
719,0.01583,0.037757,0.015058,0.012887
718,0.015929,0.038133,0.014908,0.0132
717,0.015887,0.037862,0.01485,0.013061
716,0.015677,0.037639,0.014875,0.01359
715,0.015476,0.037732,0.014607,0.013515
714,0.016362,0.038406,0.015551,0.013834
713,0.016355,0.038143,0.015307,0.013782
712,0.016649,0.038317,0.015253,0.013948
711,0.015861,0.037565,0.014801,0.013761
710,0.015931,0.037458,0.01476,0.013794
709,0.015931,0.037889,0.015133,0.013927
708,0.015661,0.037848,0.014643,0.013655
707,0.015555,0.037964,0.014942,0.013663
706,0.015213,0.03755,0.014954,0.01373
705,0.015639,0.037449,0.015155,0.013067
704,0.016544,0.037624,0.015501,0.013435
703,0.016099,0.037491,0.014805,0.013368
702,0.016028,0.038242,0.015397,0.013305
701,0.015789,0.037944,0.015552,0.013686
700,0.016058,0.037917,0.01552,0.013934
699,0.015927,0.038109,0.015454,0.013733
698,0.016623,0.038571,0.015835,0.014408
697,0.016459,0.038062,0.015642,0.01454
696,0.016628,0.038445,0.015716,0.014172
695,0.015924,0.038522,0.015431,0.013637
694,0.015917,0.038233,0.015301,0.013629
693,0.016475,0.038766,0.015469,0.014328
692,0.015712,0.037754,0.01524,0.013436
691,0.016155,0.038226,0.015114,0.012964
690,0.016003,0.038018,0.015714,0.013667
689,0.016314,0.038241,0.016016,0.013602
688,0.016166,0.038955,0.016452,0.014015
687,0.016193,0.038346,0.016286,0.013881
686,0.016517,0.03861,0.016263,0.01389
685,0.01627,0.038392,0.016628,0.013967
684,0.016248,0.038826,0.016862,0.013767
683,0.016641,0.039021,0.017045,0.013865
682,0.016563,0.039924,0.017132,0.014035
681,0.016453,0.038762,0.017442,0.014403
680,0.01695,0.039608,0.018052,0.014474
679,0.016562,0.039702,0.018139,0.014429
678,0.017061,0.039949,0.018274,0.014434
677,0.016965,0.039872,0.018492,0.014293
676,0.017127,0.040264,0.018714,0.014486
675,0.017121,0.040597,0.019409,0.014653
674,0.016826,0.04093,0.019204,0.014174
673,0.017126,0.0417,0.019714,0.015276
